catalyst,Gn(eV),fai1,fai3,I1,Rd-0.07,"Hf,ox(eV)-0.08",TM-N/O-0.13,d band center,MN,mode
RuPy-DC,-0.001084278,100.52,19,7.361,63.9,-6.14,1.86043,-1.54442896,56,2
RhPy-DC,0.742487634,115.52,19,7.459,60.4,-4.87,2.02587,-1.59497822,59,2
PdPy-DC,0.280607619,143.6,19,8.337,58,-2.81,2.54063,-2.583295325,62,2
AgPy-DC,-0.013569605,140.9,19,7.576,54.7,-0.9,2.90893,-4.242962971,65,2
TaPy-DC,1.042090956,40.98,19,7.89,82,-13.88,1.95586,-1.625942738,48,2
WPy-DC,1.195041385,58.08,19,7.98,77.6,-9.64,1.92992,-1.411471463,51,2
RePy-DC,1.090341114,70.3,19,7.88,73.9,-8.93,1.89744,-1.68728074,54,2
OsPy-DC,-0.024077121,86.16,19,8.71,70.6,-6.21,1.87217,-1.418601705,57,2
IrPy-DC,0.59213752,100.52,19,9.12,67.8,-6.51,2.0181,-1.675203732,60,2
PtPy-DC,0.210729227,129.96,19,9.02,65.9,-3.38,2.63172,-2.43591854,63,2
VPy-DN,0.706074972,41.37,12.16,6.746,47.9,-8.15,1.89992,-0.545765114,46,2
CrPy-DN,0.625535478,69.1,12.16,6.767,45.5,-6.26,1.84364,-0.220512748,49,2
MnPy-DN,0.626778256,68.55,12.16,7.434,40.9,-5.49,1.79209,-2.22656827,52,2
FePy-DN,0.541594385,83.94,12.16,7.903,38.2,-6.45,1.75381,-1.875276375,55,2
CoPy-DN,0.606896396,98.28,12.16,7.881,35.8,-5.6,1.89594,-1.551759277,58,2
NiPy-DN,0.450860412,112.56,12.16,7.64,33.8,-4.75,1.95582,-1.765829519,61,2
CuPy-DN,0.357100037,140.6,12.16,7.727,32.5,-3.26,2.27126,-2.908018119,64,2
ZnPy-DN,0.042521935,138.1,12.16,9.394,30.4,-2.19,2.14873,-4.569254521,69,2
MoPy-DN,1.063264371,71.6,12.16,7.092,72.9,-7.71,1.95044,-0.485935129,50,2
RuPy-DN,-0.243938846,100.52,12.16,7.361,63.9,-6.14,1.86663,-1.560646823,56,2
RhPy-DN,0.578991432,115.52,12.16,7.459,60.4,-4.87,2.02184,-1.595209024,59,2
WPy-DN,1.129368649,58.08,12.16,7.98,77.6,-9.64,1.93934,-0.678051614,51,2
RePy-DN,0.981971101,70.3,12.16,7.88,73.9,-8.93,1.90832,-1.652204598,54,2
OsPy-DN,-0.085527368,86.16,12.16,8.71,70.6,-6.21,1.88097,-1.601531386,57,2
IrPy-DN,0.558057307,100.52,12.16,9.12,67.8,-6.51,2.02158,-1.633145931,60,2
VPy-DO,0.58096371,41.37,13.76,6.746,47.9,-8.15,1.88755,-0.789209126,46,2
MnPy-DO,0.708238494,68.55,13.76,7.434,40.9,-5.49,1.79338,-1.571996504,52,2
FePy-DO,0.285563323,83.94,13.76,7.903,38.2,-6.45,1.74091,-2.073109278,55,2
CoPy-DO,0.651719001,98.28,13.76,7.881,35.8,-5.6,1.87674,-0.518726323,58,2
NiPy-DO,0.373171338,112.56,13.76,7.64,33.8,-4.75,2.15235,-1.82203206,61,2
CuPy-DO,0.422015195,140.6,13.76,7.727,32.5,-3.26,2.28347,-2.425262857,64,2
ZnPy-DO,0.004621575,138.1,13.76,9.394,30.4,-2.19,2.11418,-4.427716027,69,2
MoPy-DO,1.102959803,71.6,13.76,7.092,72.9,-7.71,1.9429,-1.160699526,50,2
RuPy-DO,-0.005161448,100.52,13.76,7.361,63.9,-6.14,1.86465,-1.833961598,56,2
RhPy-DO,0.626420359,115.52,13.76,7.459,60.4,-4.87,2.011,-1.810794071,59,2
WPy-DO,1.149970185,58.08,13.76,7.98,77.6,-9.64,1.93488,-1.54002014,51,2
RePy-DO,1.122705841,70.3,13.76,7.88,73.9,-8.93,1.89951,-1.911466363,54,2
OsPy-DO,-0.004898463,86.16,13.76,8.71,70.6,-6.21,1.87289,-1.656394916,57,2
IrPy-DO,0.555589247,100.52,13.76,9.12,67.8,-6.51,2.00146,-1.8730815,60,2
VPy-DF,0.729647092,41.37,15.92,6.746,47.9,-8.15,1.89111,-0.632543559,46,2
CrPy-DF,0.577963742,69.1,15.92,6.767,45.5,-6.26,1.83501,-0.385113312,49,2
MnPy-DF,0.644785557,68.55,15.92,7.434,40.9,-5.49,1.78135,-2.235006612,52,2
FePy-DF,0.232582888,83.94,15.92,7.903,38.2,-6.45,1.74701,-1.840227034,55,2
CoPy-DF,0.565555192,98.28,15.92,7.881,35.8,-5.6,1.89715,-1.597628971,58,2
NiPy-DF,0.428186962,112.56,15.92,7.64,33.8,-4.75,1.9431,-1.859229156,61,2
CuPy-DF,0.185248235,140.6,15.92,7.727,32.5,-3.26,2.32716,-2.512653917,64,2
ZnPy-DF,-0.005556216,138.1,15.92,9.394,30.4,-2.19,2.15131,-4.594097655,69,2
MoPy-DF,1.025483639,71.6,15.92,7.092,72.9,-7.71,1.94071,-0.742827534,50,2
RuPy-DF,-0.040192384,100.52,15.92,7.361,63.9,-6.14,1.86291,-1.532788747,56,2
RhPy-DF,0.590331722,115.52,15.92,7.459,60.4,-4.87,2.02251,-1.612663054,59,2
WPy-DF,1.24040661,58.08,15.92,7.98,77.6,-9.64,1.93259,-1.294822758,51,2
RePy-DF,1.048295909,70.3,15.92,7.88,73.9,-8.93,1.88815,-1.802336923,54,2
OsPy-DF-eNHO,-0.069651348,86.16,15.92,8.71,70.6,-6.21,1.87506,-1.574372406,57,2
IrPy-DF-eNHO,0.570126264,100.52,15.92,9.12,67.8,-6.51,2.01994,-1.676990548,60,2
ScPy-DC-sNOH,0.653020513,13.52,19,6.562,59.2,-10.45,2.07915,-1.442186466,11,3
TiPy-DC-sNOH,0.244608224,27.4,19,6.828,52.8,-11.39,1.938165,-1.134927827,43,3
YPy-DC,0.646202918,13.38,19,6.22,93.9,-10.4,2.31053,-1.073680321,12,3
NbPy-DC,0.842398017,55.04,19,6.759,78.9,-12.07,2.04437,-1.472048032,47,3
TaPy-DC,1.04118113,40.98,19,7.89,82,-13.88,2.048995,-1.625942738,48,3
WPy-DC,-0.921982596,58.08,19,7.98,77.6,-9.64,1.85543,-1.411471463,51,3
ScPy-DN,0.710670526,13.52,12.16,6.562,59.2,-10.45,2.16327,-1.382638994,11,3
TiPy-DN,0.211221775,27.4,12.16,6.828,52.8,-11.39,1.934395,-0.858823448,43,3
